Site,Camera,Position,Date,Model,Weather,Min_Temp,Wind_Speed,Rainfall,Moon_Phase,Individual,Species,Size,Sex,Joey,Total,First,Last,V_low,V_mid,V_high,V_toward,V_away,L_towards,L_away,L_across,<5m,5-10m,10-15m,>15m,Grazing,Social,Fighting,Grooming,Investigating,Sniffing,At_Other,Out,Pref_Dist,Pref_Dist2,T_loc,,,,,,,,
Q1,QC3,Back,24/4/2024,Thylacine,,6.6,7,10.2,1,941,Wallaby,M,,,45,19:41:19,19:50:43,0.022222222,0.111111111,0.044444444,0.177777778,0,0,0,0.111111111,1,0,0,0,0.666666667,0,0,0,0.155555556,0,0,0.133333333,<5m,0,0.111111111,,,,,,,,
Q1,QC3,Back,24/4/2024,Thylacine,,6.6,7,10.2,1,942,Possum,M,,,12,22:58:03,22:58:14,0,0,0,0,0,0,0.916666667,0,0.416666667,0.583333333,0,0,0.083333333,0,0,0,0,0,0,0,5-10m,0,0.916666667,,,,,,,,
Q1,QC3,Back,24/4/2024,Thylacine,,6.6,7,10.2,1,943,Possum,M,,,6,22:58:09,22:58:14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,<5m,0,1,,,,,,,,
Q1,QC3,Back,25/4/2024,Control,,2,0,0,0.976,944,Unknown,,,,3,21:59:52,21:59:54,0,0,0,0,0,0,0,0.333333333,0,0,0,1,0,0,0,0,0,0,0,0.666666667,>15m,1,0.333333333,,,,,,,,
Q1,QC3,Back,25/4/2024,Control,,2,0,0,0.976,945,Wallaby,M,,,3,22:30:02,22:30:04,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,1,,,,,,,,
Q1,QC3,Back,25/4/2024,Control,,2,0,0,0.976,946,Unknown,L,,,3,22:30:02,22:30:04,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,>15m,1,0,,,,,,,,
Q1,QC3,Back,26/4/2024,Goat,,-0.3,0,0,0.9353,947,Wallaby,M,M,,3,20:00:35,20:00:37,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,<5m,0,0,,,,,,,,
Q1,QC3,Back,26/4/2024,Goat,,-0.3,0,0,0.9353,948,Wallaby,M,,,3,20:00:35,20:00:37,0,0.333333333,0,0,0.333333333,0,0,0.333333333,0,0,1,0,0.333333333,0,0,0,0,0,0,0,10-15m,1,0.333333333,,,,,,,,
Q1,QC3,Back,26/4/2024,Goat,,-0.3,0,0,0.9353,949,Wallaby,M,M,,17,20:10:45,20:13:12,0,0,0.117647059,0,0.117647059,0,0,0.058823529,0,0.882352941,0,0,0.529411765,0,0,0.235294118,0,0,0,0.117647059,5-10m,0,0.058823529,,,,,,,,
Q1,QC3,Back,26/4/2024,Goat,,-0.3,0,0,0.9353,950,Wallaby,M,,,22,20:10:45,20:16:46,0,0.272727273,0,0.272727273,0,0,0.045454545,0.045454545,0,0,0.818181818,0.181818182,0.636363636,0,0,0,0.136363636,0,0.136363636,0,10-15m,1,0.090909091,,,,,,,,
Q1,QC3,Back,26/4/2024,Goat,,-0.3,0,0,0.9353,951,Wallaby,M,,,22,20:10:45,20:16:46,0,0,0,0,0,0.090909091,0,0.045454545,0,0,1,0,0.954545455,0,0,0,0,0,0,0,10-15m,1,0.136363636,,,,,,,,
Q1,QC3,Back,26/4/2024,Goat,,-0.3,0,0,0.9353,952,Wallaby,S,,,3,20:10:45,20:12:16,0,0.333333333,0,0,0.333333333,0,0,0.666666667,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,0.666666667,,,,,,,,
Q1,QC4,Left,24/4/2024,Thylacine,,6.6,7,10.2,1,953,Deer,L,M,,3,17:59:54,17:59:56,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,1,,,,,,,,
Q1,QC4,Left,25/4/2024,Control,,2,0,0,0.976,954,Wallaby,S,,,3,21:45:43,21:45:45,0,0,0,0,0,0,0,0.333333333,1,0,0,0,1,0,0,0,0,0,0,0,<5m,0,0.333333333,,,,,,,,
Q1,QC4,Left,26/4/2024,Goat,,-0.3,0,0,0.9353,955,Wallaby,M,,,3,19:47:12,19:47:14,0,0,0,0,0,0,0,0.666666667,1,0,0,0,0.666666667,0,0,0,0,0,0,0,<5m,0,0.666666667,,,,,,,,
Q1,QC4,Left,26/4/2024,Goat,,-0.3,0,0,0.9353,956,Possum,M,,,3,20:08:11,20:08:13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,<5m,0,1,,,,,,,,
Q1,QC4,Left,27/4/2024,Fox,,3.6,0,0,0.8757,957,Wallaby,M,,,3,18:47:38,18:47:40,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,>15m,1,0,,,,,,,,
Q2,QC5,Front,21/4/2024,Fox,,0.7,2,0,0.9453,958,Kangaroo,M,,,3,19:32:21,19:32:23,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,>15m,1,0,,,,,,,,
Q2,QC5,Front,21/4/2024,Fox,,0.7,2,0,0.9453,959,Deer,S,,,3,19:32:21,19:32:23,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,1,,,,,,,,
Q2,QC5,Front,21/4/2024,Fox,,0.7,2,0,0.9453,960,Deer,M,F,,3,19:32:36,19:32:38,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,1,,,,,,,,
Q2,QC5,Front,21/4/2024,Fox,,0.7,2,0,0.9453,961,Devil,M,,,7,21:27:50,21:28:03,0,0.285714286,0,0.285714286,0,0.571428571,0,0.142857143,0.571428571,0.428571429,0,0,0,0,0,0,0.285714286,0,0,0,<5m,0,0.714285714,,,,,,,,
Q2,QC5,Front,26/4/2024,Fox,,2,0,0,0.976,962,Wallaby,M,,,9,00:17:42,00:18:35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,<5m,0,0,,,,,,,,
Q2,QC5,Front,26/4/2024,Fox,,2,0,0,0.976,963,Wallaby,L,M,,6,06:16:06,06:16:11,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0,0,0,0,0,0,0,5-10m,0,1,,,,,,,,
Q2,QC5,Front,26/4/2024,Fox,,2,0,0,0.976,964,Wallaby,M,,,6,06:16:06,06:16:11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,>15m,1,0,,,,,,,,
Q2,QC5,Front,26/4/2024,Fox,,2,0,0,0.976,965,Wallaby,M,,,14,06:34:00,06:34:38,0,0.357142857,0,0.357142857,0,0,0,0.428571429,1,0,0,0,0.285714286,0,0,0,0.357142857,0,0,0,<5m,0,0.428571429,,,,,,,,
Q2,QC5,Front,26/4/2024,Control,,-0.3,0,0,0.9353,966,Wallaby,L,M,,3,22:38:57,22:38:59,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,0,,,,,,,,
Q2,QC5,Front,27/4/2024,Thylacine,,3.6,0,0,0.8757,967,Unknown,M,,,7,22:32:25,22:35:11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,<5m,0,0,,,,,,,,
Q2,QC5,Front,27/4/2024,Thylacine,,3.6,0,0,0.8757,968,Wallaby,M,,,6,22:54:54,22:54:58,0,0.333333333,0,0.333333333,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0,0.666666667,<5m,0,0,,,,,,,,
Q2,QC5,Front,28/4/2024,Thylacine,,3.6,0,0,0.8757,969,Wallaby,M,,,10,07:33:15,07:33:41,0,0,0,0,0,0,0,0.7,1,0,0,0,0.2,0,0,0,0,0,0,0.1,<5m,0,0.7,,,,,,,,
Q2,QC5,Front,28/4/2024,Thylacine,,3.6,0,0,0.8757,970,Deer,L,M,,16,08:21:04,08:21:15,0,0.125,0,0.125,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,1,,,,,,,,
Q2,QC6,Right,21/4/2024,Fox,,0.7,2,0,0.9453,971,Possum,M,F,,6,21:03:50,21:03:56,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10-15m,1,1,,,,,,,,
Q2,QC6,Right,21/4/2024,Fox,,0.7,2,0,0.9453,972,Possum,M,,,10,21:03:50,21:04:02,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.1,0,0,10-15m,1,1,,,,,,,,
Q2,QC6,Right,25/4/2024,Control,,6.6,7,10.2,1,973,Possum,M,,,3,05:39:08,05:39:10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1,,,,,,,,
Q2,QC6,Right,25/4/2024,Fox,,2,0,0,0.976,974,Kangaroo,M,,,18,21:10:51,21:20:03,0,0,0,0,0,0,0.222222222,0.055555556,0.833333333,0.055555556,0.111111111,0,0.833333333,0,0,0,0,0,0,0,<5m,0,0.277777778,,,,,,,,
Q2,QC6,Right,26/4/2024,Fox,,2,0,0,0.976,975,Wallaby,S,,,1,00:32:45,00:32:45,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1,,,,,,,,
Q2,QC6,Right,26/4/2024,Fox,,2,0,0,0.976,976,Possum,M,,,6,02:02:42,02:02:54,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10-15m,1,1,,,,,,,,
Q2,QC6,Right,26/4/2024,Fox,,2,0,0,0.976,977,Wallaby,M,,,9,02:02:42,02:02:56,0.111111111,0.444444444,0,0.333333333,0.222222222,0,0,0,0,0,0,1,0.444444444,0,0,0,0,0,0.444444444,0,>15m,1,0,,,,,,,,
Q2,QC6,Right,26/4/2024,Fox,,2,0,0,0.976,978,Possum,M,,,1,02:19:46,02:19:46,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5-10m,0,1,,,,,,,,
Q2,QC6,Right,26/4/2024,Fox,,2,0,0,0.976,979,Kangaroo,S,J,,3,07:42:31,07:42:33,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,1,,,,,,,,
Q2,QC6,Right,26/4/2024,Fox,,2,0,0,0.976,980,Kangaroo,M,,,3,07:42:31,07:42:33,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,>15m,1,1,,,,,,,,
